[2025-09-02T21:16:29.654+0800] INFO - local_task_job_runner.py:123 - _execute() - ::group::Pre task execution logs
[2025-09-02T21:16:30.080+0800] INFO - taskinstance.py:2613 - are_dependencies_met() - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: hahow_crawler_dag.crawl_course_programming scheduled__2025-08-31T18:00:00+00:00 [queued]>
[2025-09-02T21:16:30.264+0800] INFO - taskinstance.py:2613 - are_dependencies_met() - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: hahow_crawler_dag.crawl_course_programming scheduled__2025-08-31T18:00:00+00:00 [queued]>
[2025-09-02T21:16:30.265+0800] INFO - taskinstance.py:2866 - _check_and_change_state_before_execution() - Starting attempt 1 of 2
[2025-09-02T21:16:30.444+0800] INFO - taskinstance.py:2889 - _check_and_change_state_before_execution() - Executing <Task(PythonOperator): crawl_course_programming> on 2025-08-31 18:00:00+00:00
[2025-09-02T21:16:38.609+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5dc4078d1eeef600214f7108', 'category': 'programming', 'uniquename': 'azuremlstudio', 'title': '資料科學：Azure 機器學習工作室入門', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5dc4078d1eeef600214f7108', 'price': 890, 'preordered_price': 590, 'average_rating': 4.77, 'num_rating': 13, 'owner_name': 'Maizie', 'sold_num': 253, 'bookmark_count': 460, 'meta_description': '想學機器學習卻不懂寫程式？Python 或 R 雖然教學課程很多，但又覺得學習門檻太高？那我推薦你選擇「Azure 機器學習工作室」當作你機器學習的第一門課！透過視覺化開發流程，讓對程式不了解的你，也可以做出超實用的預測模型。Azure  機器學習裡面所有演算法，都經過 Microsoft 資料科學研究院認證並開發，快來上這門 Azure 機器學習課程吧！', 'cover_image': 'https://images.hahow.in/images/5e66027e1c9665002390d35d', 'incubate_time': '2020-03-11T04:01:26.655Z', 'publish_time': '2020-06-09T04:01:04.782Z', 'video_length': 7565}
[2025-09-02T21:16:38.610+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '60a66f350297223a0f0af3fe', 'category': 'programming', 'uniquename': 'kewang-backend', 'title': '專為前端工程師準備的Node.js後端實戰課程', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/60a66f350297223a0f0af3fe', 'price': 2850, 'preordered_price': 2100, 'average_rating': 0, 'num_rating': 0, 'owner_name': '王慕羣 Kewang', 'sold_num': 86, 'bookmark_count': 328, 'meta_description': '這門課主要是提供給一直想進入後端的前端工程師為主，原本 JavaScript 主要的運作環境都是在瀏覽器上面，而 Google Chrome 誕生之後，所附加的 V8 引擎讓原本只能把 JavaScript 拿來做為網頁簡單互動的功能，使用 V8 引擎開發的 Node.js 更可以讓 JavaScript 在伺服器端大量開始被採用。\n\n因為前端工程師先天就有 JavaScript 的學習優勢，所以在學習後端技術時，使用 Node.js 環境來撰寫 JavaScript 更是無縫接軌。而這門課將利用 Node.js 帶領大家了解後端工程師所必須學習的內容，以及前後端如何協同工作。', 'cover_image': 'https://images.hahow.in/images/60b49ad414a3c2148a2888bf', 'incubate_time': '2021-06-17T04:00:10.635Z', 'publish_time': '2021-09-15T04:00:04.138Z', 'video_length': 24532}
[2025-09-02T21:16:38.708+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5afa6930bb4174001e3fe268', 'category': 'programming', 'uniquename': 'androidx', 'title': 'Android APP高效入門 強靭基礎刻不容緩', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5afa6930bb4174001e3fe268', 'price': 3600, 'preordered_price': 1999, 'average_rating': 4.96, 'num_rating': 101, 'owner_name': 'Hank Tom', 'sold_num': 1067, 'bookmark_count': 1076, 'meta_description': 'Android App 開發課程，學習使用 Java 程式語言，開發自己的 Android App，帶你掌握Android 元件控制與設計能力，以及完整瞭解 Android APP 的設計要領與方法，透過活用 Android Studio 開發工具的能力與技巧，你也能具備開發完整 Android APP 的能力。', 'cover_image': 'https://images.hahow.in/images/5b28eadda097f1001eeb4308', 'incubate_time': '2018-06-20T04:07:04.369Z', 'publish_time': '2018-09-18T04:00:02.248Z', 'video_length': 42330}
[2025-09-02T21:16:38.709+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '58744feda8aae907000d06c0', 'category': 'programming', 'uniquename': 'python-web-crawler', 'title': 'Python 網頁爬蟲入門實戰', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/58744feda8aae907000d06c0', 'price': 1890, 'preordered_price': 990, 'average_rating': 4.9, 'num_rating': 115, 'owner_name': 'Jun-Wei Lin', 'sold_num': 1325, 'bookmark_count': 2405, 'meta_description': 'Python 網頁爬蟲課程，適合已經有Python基礎，卻不知從何練習起的學生。課程將會說明如何撰寫Python網頁爬蟲，包含環境設定、涵蓋網頁解構、資料擷取與儲存，並搭配多項實戰演練，教你Python網頁爬蟲入門必備的實戰課。', 'cover_image': 'https://images.hahow.in/images/5abac5768a3b9a001e3a010f', 'incubate_time': '2017-02-09T05:45:14.673Z', 'publish_time': '2017-05-03T07:36:30.154Z', 'video_length': 15290}
[2025-09-02T21:16:38.710+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '591d96d300f58c070078c4c6', 'category': 'programming', 'uniquename': 'responsive-design', 'title': '職人必修的 RWD 網頁入門班', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/591d96d300f58c070078c4c6', 'price': 2000, 'preordered_price': 1000, 'average_rating': 4.95, 'num_rating': 40, 'owner_name': 'Mike', 'sold_num': 513, 'bookmark_count': 1473, 'meta_description': '網頁製作必學的 RWD 響應式網頁設計，課堂中將從架構規劃設計開始，帶你理解網頁語法與瀏覽器相容性，接著會教你網頁選單的設計製作，深入潛出地教你 RWD 網頁的開發技巧。', 'cover_image': 'https://images.hahow.in/images/597fe06cacc13707000712a0', 'incubate_time': '2017-09-07T04:00:20.484Z', 'publish_time': '2017-12-06T04:38:44.326Z', 'video_length': 42179}
[2025-09-02T21:16:38.711+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '579dc01ed0c303070041c13c', 'category': 'programming', 'uniquename': 'ios-developer-101', 'title': 'iOS 入門 － 從介面設計到開發', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/579dc01ed0c303070041c13c', 'price': 1600, 'preordered_price': 990, 'average_rating': 4.5, 'num_rating': 18, 'owner_name': 'Hahow 小幫手 ', 'sold_num': 730, 'bookmark_count': 1543, 'meta_description': 'iOS App 介面開發課程，教你從零開始製作 iOS 的 App。課程將介紹 iOS App 開發的基本流程與規劃，教你使用 Sketch 進行 GUI 介面設計，並講解如何使用 Xcode 搭配 Swift 設計你專屬的 iOS App 介面。', 'cover_image': 'https://images.hahow.in/images/57a3720dd0c303070041df2b', 'incubate_time': '2016-08-24T03:59:55.000Z', 'publish_time': '2016-11-22T02:26:26.934Z', 'video_length': 47560}
[2025-09-02T21:16:38.711+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5965e326ede9500700e66202', 'category': 'programming', 'uniquename': '5xruby-css-artist', 'title': '用程式構築的繪畫世界 — CSS 繪圖', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5965e326ede9500700e66202', 'price': 1800, 'preordered_price': 1500, 'average_rating': 4.93, 'num_rating': 27, 'owner_name': 'Cat Sun', 'sold_num': 321, 'bookmark_count': 1264, 'meta_description': 'CSS 繪圖課程，教你利用 CSS 屬性將 div 變成不同的形狀，透過 CSS 作畫，從繪圖的圖形解構與實作，更熟悉 HTML 與 CSS 的語法及架構，增加未來網頁切版時版面配置的更多選擇！', 'cover_image': 'https://images.hahow.in/images/59b1048ccd5792070055cbe6', 'incubate_time': '2017-09-08T04:00:20.528Z', 'publish_time': '2017-11-07T09:26:55.071Z', 'video_length': 20618}
[2025-09-02T21:16:38.794+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '57d60701ed63880700da234c', 'category': 'programming', 'uniquename': 'javascript101', 'title': 'JavaScript 程式設計新手村', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/57d60701ed63880700da234c', 'price': 1980, 'preordered_price': 990, 'average_rating': 4.19, 'num_rating': 63, 'owner_name': 'kdchang', 'sold_num': 1630, 'bookmark_count': 2059, 'meta_description': 'JavaScript 入門課，帶你掌握熱門的 JavaScript 程式語言。從零開始打好 JavaScript 程式設計基礎，暸解JS程式語言特色，實作部分將會帶你做出專屬的 Chrome 瀏覽器外掛程式，適合對網頁、手機 App、物聯網、VR/AR 開發有興趣的你！', 'cover_image': 'https://images.hahow.in/images/57d619eaed63880700da23c7', 'incubate_time': '2016-09-28T04:03:05.936Z', 'publish_time': '2016-10-28T14:12:42.735Z', 'video_length': 34469}
[2025-09-02T21:16:38.813+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '5e4612145b02f600245ab028', 'category': 'programming', 'uniquename': 'csf-ai2-l1', 'title': '手機 App 開發入門：App Inventor 2 實作', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/5e4612145b02f600245ab028', 'price': 1600, 'preordered_price': 800, 'average_rating': 5, 'num_rating': 14, 'owner_name': '電腦技能基金會', 'sold_num': 322, 'bookmark_count': 822, 'meta_description': '數位風潮席捲全球，包含程式設計、科技創客、平台應用等前瞻性的趨勢開始興起，激發出當前最熱門的運算思維與程式設計學習的熱潮。程式設計不再是工程師專利，蘋果執行長庫克 (Tim Cook) 曾說過，學習程式語言將比第二外語更加重要，因為透過學習寫程式，能夠掌握未來世界的溝通語言，提升創造力與未來的軟實力。\n「App Inventor 程式設計」是一個能在網頁上開發的行動裝置程式環境，拋棄複雜的程式碼而使用積木式的堆疊法來完成 App 程式的撰寫，經由學習寫程式訓練邏輯概念，簡單易學，初學者也能迅速上手。', 'cover_image': 'https://images.hahow.in/images/5e9522181f8d03e03f214fd2', 'incubate_time': '2020-04-21T04:00:20.512Z', 'publish_time': '2020-07-20T04:00:29.946Z', 'video_length': 49689}
[2025-09-02T21:16:38.814+0800] INFO - logging_mixin.py:190 - _propagate_log() - {'id': '658a5c36586f7a8c23e8ccb3', 'category': 'programming', 'uniquename': 'hank-androidkotlin03', 'title': '跟我學 Kotlin 與 APP 程式開發', 'status': 'PUBLISHED', 'link': 'https://hahow.in/courses/658a5c36586f7a8c23e8ccb3', 'price': 2850, 'preordered_price': 1999, 'average_rating': 5, 'num_rating': 11, 'owner_name': 'Hank Tom', 'sold_num': 143, 'bookmark_count': 211, 'meta_description': '使用 Google 官方開發語言 Kotlin 的 Android 開發養成線上影音課程，從 Kotlin 語言基礎開始，活用 Kotlin 靈活、簡潔特色，建立完備的 Android 開發能力，熟練 Android Studio 開發工具、Git 版本管理實務、手機端資料庫使用新一代官方 Room 類別庫。', 'cover_image': 'https://images.hahow.in/images/658a5c87fcfecba351f51724', 'incubate_time': '2023-12-27T04:00:35.275Z', 'publish_time': '2024-03-27T09:07:56.541Z', 'video_length': 61558}
